127.0.0.1 - - [09/Dec/2025:21:48:50 +0300] "GET /assets/file-5kcBQRcd.js HTTP/1.1" 200 386 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET / HTTP/1.1" 200 634 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/index-K1m2g8fn.js HTTP/1.1" 200 170405 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/index-FUvVewE8.css HTTP/1.1" 200 13598 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/logo-D-5wU3Ud.png HTTP/1.1" 200 8359 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/Home-iKEnuPiC.js HTTP/1.1" 200 16526 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/Home-CDYomrM7.css HTTP/1.1" 200 362 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/index-C9hRBs_3.js HTTP/1.1" 200 452 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /fonts/IBMPlexSansArabic-Regular.woff HTTP/1.1" 200 95900 "http://localhost:4200/assets/index-FUvVewE8.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /fonts/IBMPlexSansArabic-Bold.woff HTTP/1.1" 200 98348 "http://localhost:4200/assets/index-FUvVewE8.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /fonts/IBMPlexSansArabic-Medium.woff HTTP/1.1" 200 100320 "http://localhost:4200/assets/index-FUvVewE8.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/users-DR_v_tnF.js HTTP/1.1" 200 341 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/download-ChCWAJxt.js HTTP/1.1" 200 335 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/arrow-left-BWyEupCh.js HTTP/1.1" 200 283 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/trending-up-BLYjj27d.js HTTP/1.1" 200 301 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/eye-CG0SYYIi.js HTTP/1.1" 200 319 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/folder-DU0Kua6i.js HTTP/1.1" 200 311 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /assets/icon-D0sgXD6D.ico HTTP/1.1" 200 1150 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /fonts/IBMPlexSansArabic-SemiBold.woff HTTP/1.1" 200 100992 "http://localhost:4200/assets/index-FUvVewE8.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:21:52:15 +0300] "GET /images/banner-1.png HTTP/1.1" 200 1949055 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:22 +0300] "GET /assets/CommunityList-BFd0TxdG.js HTTP/1.1" 200 7713 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:22 +0300] "GET /assets/CardContent.vue_vue_type_script_setup_true_lang-BPB-BXhP.js HTTP/1.1" 200 1012 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:22 +0300] "GET /assets/CardTitle.vue_vue_type_script_setup_true_lang-Hy9OhdzQ.js HTTP/1.1" 200 298 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:22 +0300] "GET /assets/file-text-0VqqDIK_.js HTTP/1.1" 200 338 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:22 +0300] "GET /assets/loader-circle-JoWC_fWH.js HTTP/1.1" 200 272 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:22 +0300] "GET /assets/CollapsibleContent.vue_vue_type_script_setup_true_lang-pBTIRF2-.js HTTP/1.1" 200 775 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:22 +0300] "GET /assets/folder-open-CiK_1QrL.js HTTP/1.1" 200 341 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:30 +0300] "GET /assets/BrowsePage-CvUwaksu.js HTTP/1.1" 200 15143 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:30 +0300] "GET /assets/BrowseOptions.vue_vue_type_script_setup_true_lang-6zsEYucf.js HTTP/1.1" 200 1881 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:30 +0300] "GET /assets/SelectScrollDownButton.vue_vue_type_script_setup_true_lang-QOEI8o0V.js HTTP/1.1" 200 1811 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:30 +0300] "GET /assets/Label.vue_vue_type_script_setup_true_lang-By925rWu.js HTTP/1.1" 200 351 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:05:30 +0300] "GET /assets/link-BUbb7t65.js HTTP/1.1" 200 316 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:24:52 +0300] "GET /sitemap_index.xml HTTP/1.1" 200 1631 "-" "Java/17.0.17"
127.0.0.1 - - [09/Dec/2025:22:24:53 +0300] "GET /robots.txt HTTP/1.1" 200 1631 "-" "Java/17.0.17"
127.0.0.1 - - [09/Dec/2025:22:24:53 +0300] "GET / HTTP/1.1" 200 1631 "-" "Java/17.0.17"
127.0.0.1 - - [09/Dec/2025:22:45:51 +0300] "GET /assets/ItemDetails-7Lz9l6Kj.js HTTP/1.1" 200 5578 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:22:45:51 +0300] "GET /assets/file-5kcBQRcd.js HTTP/1.1" 200 386 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:23:14:01 +0300] "GET /sitemap_index.xml HTTP/1.1" 200 1631 "-" "Java/17.0.17"
127.0.0.1 - - [09/Dec/2025:23:14:01 +0300] "GET /robots.txt HTTP/1.1" 200 1631 "-" "Java/17.0.17"
127.0.0.1 - - [09/Dec/2025:23:14:01 +0300] "GET / HTTP/1.1" 200 1631 "-" "Java/17.0.17"
127.0.0.1 - - [09/Dec/2025:23:14:39 +0300] "GET /sitemap_index.xml HTTP/1.1" 200 1631 "-" "Java/17.0.17"
127.0.0.1 - - [09/Dec/2025:23:14:39 +0300] "GET /robots.txt HTTP/1.1" 200 1631 "-" "Java/17.0.17"
127.0.0.1 - - [09/Dec/2025:23:14:39 +0300] "GET / HTTP/1.1" 200 1631 "-" "Java/17.0.17"
127.0.0.1 - - [09/Dec/2025:23:15:26 +0300] "GET /images/banner.jpg HTTP/1.1" 200 94042 "http://localhost:4200/items/7" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:23:17:15 +0300] "GET /assets/StatisticsPage-Dp3OwVVN.js HTTP/1.1" 200 2733 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:23:20:02 +0300] "GET /assets/ItemFullDetails-DVxmnsHX.js HTTP/1.1" 200 4510 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
127.0.0.1 - - [09/Dec/2025:23:21:18 +0300] "GET /communities HTTP/1.1" 200 634 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"
